,SK_ID_CURR
277,101920
278,101921
279,101922
280,101961
281,101962
282,101971
283,101976
284,102002
285,102005
286,102007
287,102017
288,102019
289,102029
290,102051
291,102052
292,102054
293,102062
294,102067
295,102068
296,102070
297,102090
298,102092
299,102100
300,102112
301,102113
302,102122
303,102123
304,102125
305,102126
306,102146
307,102147
308,102151
309,102158
310,102159
311,102162
312,102165
313,102166
314,102174
315,102193
316,102198
317,102205
318,102206
319,102218
320,102221
321,102230
322,102238
323,102248
324,102252
325,102259
326,102262
327,102273
328,102286
329,102293
330,102294
331,102296
332,102298
333,102303
334,102309
335,102315
336,102340
337,102342
338,102344
339,102346
340,102347
341,102374
342,102380
343,102387
344,102393
345,102403
346,102413
347,102414
348,102415
349,102416
350,102439
351,102441
352,102443
353,102444
354,102445
355,102448
356,102449
357,102450
358,102456
359,102458
360,102459
361,102465
362,102470
363,102471
364,102475
365,102476
366,102506
367,102509
368,102519
369,102522
370,102545
371,102549
372,102562
373,102563
374,102568
375,102582
376,102592
377,102597
378,102605
379,102614
380,102617
381,102634
382,102652
383,102655
384,102671
385,102694
386,102701
387,102703
388,102704
389,102713
390,102720
391,102731
392,102733
393,102749
394,102755
395,102763
396,102770
397,102772
398,102799
399,102838
400,102854
401,102862
402,102863
403,102867
404,102868
405,102878
406,102887
407,102898
408,102904
409,102912
410,102919
411,102927
412,102932
413,102933
414,102935
415,102958
416,102969
417,102971
418,102975
419,102979
420,102982
421,102987
422,102989
423,102995
424,102996
425,103000
426,103001
427,103004
428,103010
429,103025
430,103029
431,103046
432,103056
433,103062
434,103078
435,103083
436,103092
437,103096
438,103097
439,103102
440,103112
441,103132
442,103144
443,103145
444,103146
445,103147
446,103158
447,103171
448,103173
449,103184
450,103195
451,103196
452,103206
453,103230
454,103231
455,103232
456,103239
457,103240
458,103243
459,103252
460,103258
461,103259
462,103279
463,103280
464,103286
465,103287
466,103290
467,103298
468,103315
469,103319
470,103334
471,103336
472,103345
473,103368
474,103371
475,103377
476,103398
477,103408
478,103410
479,103418
480,103420
481,103432
482,103433
483,103436
484,103440
485,103453
486,103459
487,103460
488,103461
489,103462
490,103473
491,103474
492,103475
493,103478
494,103480
495,103484
496,103494
497,103513
498,103515
499,103516
500,103525
501,103541
502,103544
503,103562
504,103570
505,103572
506,103574
507,103575
508,103594
509,103609
510,103613
511,103615
512,103624
513,103625
514,103628
515,103629
516,103647
517,103648
518,103651
519,103658
520,103668
521,103669
522,103676
523,103682
524,103683
525,103689
526,103725
527,103733
528,103744
529,103762
530,103771
531,103773
532,103783
533,103784
534,103808
535,103812
536,103813
537,103814
538,103818
539,103824
540,103828
541,103830
542,103840
543,103842
544,103847
545,103848
546,103851
547,103854
548,103857
549,103861
550,103862
551,103865
552,103870
553,103891
554,103908
555,103914
556,103918
557,103940
558,103963
559,103966
560,103971
561,103980
562,103984
563,103985
564,103998
565,104019
566,104026
567,104035
568,104044
569,104045
570,104047
571,104051
572,104058
573,104063
574,104066
575,104087
576,104089
577,104095
578,104098
579,104104
580,104110
581,104120
582,104122
583,104131
584,104132
585,104135
586,104136
587,104149
588,104150
589,104156
590,104165
591,104175
592,104179
593,104184
594,104206
595,104216
596,104230
597,104257
598,104272
599,104273
600,104278
601,104294
602,104295
603,104297
604,104298
605,104308
606,104318
607,104319
608,104320
609,104327
610,104334
611,104344
612,104350
613,104351
614,104354
615,104369
616,104376
617,104381
618,104384
619,104391
620,104394
621,104398
622,104402
623,104408
624,104409
625,104410
626,104412
627,104417
628,104424
629,104426
630,104435
631,104445
632,104458
633,104460
634,104466
635,104472
636,104473
637,104479
638,104480
639,104482
640,104499
641,104501
642,104502
643,104506
644,104510
645,104512
646,104520
647,104528
648,104529
649,104541
650,104578
651,104584
652,104588
653,104602
654,104610
655,104611
656,104618
657,104620
658,104622
659,104624
660,104625
661,104634
662,104639
663,104646
664,104647
665,104652
666,104670
667,104677
668,104685
669,104691
670,104696
671,104699
672,104712
673,104714
674,104717
675,104718
676,104740
677,104741
678,104743
679,104744
680,104747
681,104767
682,104772
683,104776
684,104779
685,104814
686,104815
687,104830
688,104831
689,104833
690,104839
691,104840
692,104860
693,104861
694,104866
695,104870
696,104877
697,104878
698,104879
699,104880
700,104899
701,104906
702,104907
703,104913
704,104916
705,104921
706,104930
707,104931
708,104937
709,104942
710,104943
711,104969
712,104972
713,104988
714,105013
715,105015
716,105019
717,105027
718,105030
719,105035
720,105041
721,105051
722,105056
723,105067
724,105071
725,105072
726,105074
727,105091
728,105101
729,105103
730,105134
731,105139
732,105142
733,105146
734,105163
735,105168
736,105172
737,105176
738,105195
739,105196
740,105197
741,105203
742,105223
743,105227
744,105228
745,105230
746,105231
747,105239
748,105242
749,105244
750,105245
751,105248
752,105249
753,105266
754,105271
755,105276
756,105282
757,105292
758,105297
759,105332
760,105333
761,105343
762,105344
763,105345
764,105357
765,105359
766,105366
767,105367
768,105370
769,105377
770,105390
771,105399
772,105403
773,105404
774,105414
775,105417
776,105425
777,105452
778,105454
779,105456
780,105470
781,105471
782,105483
783,105493
784,105508
785,105514
786,105515
787,105528
788,105529
789,105531
790,105532
791,105558
792,105574
793,105578
794,105584
795,105595
796,105617
797,105618
798,105621
799,105625
800,105629
801,105630
802,105634
803,105635
804,105641
805,105647
806,105648
807,105655
808,105657
809,105678
810,105682
811,105691
812,105692
813,105706
814,105712
815,105720
816,105734
817,105735
818,105736
819,105737
820,105738
821,105740
822,105744
823,105747
824,105749
825,105754
826,105758
827,105760
828,105767
829,105784
830,105791
831,105802
832,105807
833,105809
834,105816
835,105817
836,105824
837,105832
838,105856
839,105865
840,105899
841,105906
842,105916
843,105923
844,105937
845,105965
846,105966
847,105968
848,105973
849,105976
850,105978
851,105979
852,105991
853,105998
854,105999
855,106000
856,106001
857,106010
858,106011
859,106013
860,106015
861,106026
862,106032
863,106035
864,106040
865,106041
866,106044
867,106053
868,106054
869,106065
870,106081
871,106087
872,106101
873,106102
874,106109
875,106116
876,106150
877,106155
878,106166
879,106176
880,106189
881,106199
882,106205
883,106211
884,106214
885,106216
886,106217
887,106225
888,106249
889,106256
890,106258
891,106261
892,106262
893,106264
894,106271
895,106276
896,106277
897,106286
898,106295
899,106296
900,106297
901,106298
902,106311
903,106314
904,106320
905,106334
906,106346
907,106347
908,106349
909,106354
910,106360
911,106373
912,106377
913,106386
914,106387
915,106391
916,106401
917,106411
918,106413
919,106426
920,106427
921,106428
922,106434
923,106438
924,106440
925,106441
926,106452
927,106453
928,106454
929,106457
930,106484
931,106488
932,106491
933,106514
934,106527
935,106528
936,106529
937,106534
938,106550
939,106577
940,106585
941,106590
942,106610
943,106611
944,106612
945,106624
946,106631
947,106647
948,106660
949,106674
950,106687
951,106712
952,106713
953,106717
954,106720
955,106721
956,106724
957,106735
958,106739
959,106740
960,106754
961,106760
962,106761
963,106784
964,106787
965,106797
966,106798
967,106802
968,106803
969,106804
970,106805
971,106810
972,106812
973,106813
974,106817
975,106822
976,106823
977,106827
978,106841
979,106851
980,106853
981,106854
982,106861
983,106873
984,106878
985,106881
986,106900
987,106906
988,106907
989,106914
990,106916
991,106924
992,106931
993,106936
994,106937
995,106938
996,106939
997,106943
998,106944
999,106967
1000,106980
1001,106987
1002,106990
1003,107013
1004,107023
1005,107033
1006,107037
1007,107048
1008,107071
1009,107081
1010,107113
1011,107130
1012,107131
1013,107145
1014,107156
1015,107219
1016,107222
1017,107223
1018,107232
1019,107245
1020,107246
1021,107247
1022,107256
1023,107259
1024,107260
1025,107279
1026,107280
1027,107285
1028,107329
1029,107337
1030,107349
1031,107350
1032,107351
1033,107359
1034,107391
1035,107394
1036,107395
1037,107406
1038,107416
1039,107417
1040,107418
1041,107419
1042,107444
1043,107445
1044,107446
1045,107460
1046,107470
1047,107475
1048,107520
1049,107526
1050,107527
1051,107530
1052,107532
1053,107534
1054,107535
1055,107554
1056,107556
1057,107559
1058,107561
1059,107564
1060,107566
1061,107571
1062,107590
1063,107602
1064,107625
1065,107626
1066,107635
1067,107636
1068,107645
1069,107652
1070,107655
1071,107668
1072,107670
1073,107677
1074,107680
1075,107683
1076,107684
1077,107691
1078,107692
1079,107703
1080,107709
1081,107710
1082,107721
1083,107725
1084,107727
1085,107739
1086,107740
1087,107741
1088,107747
1089,107765
1090,107768
1091,107775
1092,107782
1093,107790
1094,107801
1095,107807
1096,107811
1097,107817
1098,107826
1099,107838
1100,107839
1101,107843
1102,107847
1103,107849
1104,107850
1105,107867
1106,107871
1107,107908
1108,107913
1109,107927
1110,107931
1111,107955
1112,107962
1113,107977
1114,107978
1115,107993
1116,108010
1117,108016
1118,108018
1119,108027
1120,108045
1121,108069
1122,108082
1123,108089
1124,108092
1125,108112
1126,108120
1127,108122
1128,108135
1129,108170
1130,108171
1131,108177
1132,108180
1133,108183
1134,108184
1135,108185
1136,108192
1137,108195
1138,108196
1139,108218
1140,108219
1141,108243
1142,108249
1143,108274
1144,108280
1145,108289
1146,108292
1147,108295
1148,108327
1149,108332
1150,108346
1151,108349
1152,108353
1153,108363
1154,108377
1155,108378
1156,108381
1157,108383
1158,108390
1159,108407
1160,108408
1161,108411
1162,108412
1163,108419
1164,108436
1165,108437
1166,108438
1167,108441
1168,108448
1169,108449
1170,108466
1171,108467
1172,108473
1173,108474
1174,108476
1175,108479
1176,108486
1177,108493
1178,108501
1179,108506
1180,108510
1181,108511
1182,108514
1183,108517
1184,108519
1185,108522
1186,108548
1187,108554
1188,108555
1189,108559
1190,108562
1191,108571
1192,108572
1193,108579
1194,108583
1195,108584
1196,108592
1197,108602
1198,108609
1199,108613
1200,108616
1201,108618
1202,108620
1203,108643
1204,108649
1205,108654
1206,108655
1207,108656
1208,108667
1209,108668
1210,108682
1211,108690
1212,108691
1213,108692
1214,108695
1215,108699
1216,108710
1217,108718
1218,108739
1219,108740
1220,108741
1221,108742
1222,108763
1223,108767
1224,108769
1225,108779
1226,108788
1227,108801
1228,108802
1229,108810
1230,108811
1231,108813
1232,108814
1233,108825
1234,108826
1235,108830
1236,108834
1237,108852
1238,108887
1239,108901
1240,108908
1241,108910
1242,108920
1243,108922
1244,108929
1245,108930
1246,108937
1247,108938
1248,108943
1249,108948
1250,108953
1251,108956
1252,108965
1253,108985
1254,108986
1255,108987
1256,108990
1257,108991
1258,108993
1259,109000
1260,109001
1261,109012
1262,109014
1263,109015
1264,109021
1265,109037
1266,109042
1267,109044
1268,109046
1269,109064
1270,109084
1271,109086
1272,109092
1273,109093
1274,109100
1275,109101
1276,109110
1277,109114
1278,109126
1279,109152
1280,109162
1281,109167
1282,109168
1283,109169
1284,109179
1285,109184
1286,109191
1287,109192
1288,109193
1289,109196
1290,109206
1291,109210
1292,109244
1293,109249
1294,109273
1295,109276
1296,109281
1297,109287
1298,109297
1299,109298
1300,109309
1301,109321
1302,109328
1303,109336
1304,109342
1305,109346
1306,109347
1307,109348
1308,109362
1309,109363
1310,109367
1311,109370
1312,109393
1313,109405
1314,109413
1315,109414
1316,109421
1317,109427
1318,109428
1319,109429
1320,109437
1321,109443
1322,109461
1323,109468
1324,109469
1325,109471
1326,109479
1327,109484
1328,109501
1329,109505
1330,109535
1331,109539
1332,109544
1333,109545
1334,109551
1335,109553
1336,109555
1337,109561
1338,109580
1339,109583
1340,109593
1341,109604
1342,109620
1343,109635
1344,109637
1345,109638
1346,109642
1347,109649
1348,109652
1349,109656
1350,109663
1351,109696
1352,109700
1353,109709
1354,109735
1355,109740
1356,109741
1357,109749
1358,109764
1359,109771
1360,109772
1361,109773
1362,109798
1363,109802
1364,109804
1365,109813
1366,109818
1367,109848
1368,109850
1369,109851
1370,109855
1371,109871
1372,109877
1373,109883
1374,109886
1375,109905
1376,109936
1377,109950
1378,109958
1379,109959
1380,109969
1381,109971
1382,109984
1383,109985
1384,109988
1385,109992
1386,110005
1387,110009
1388,110011
1389,110014
1390,110026
1391,110042
1392,110058
1393,110069
1394,110080
1395,110087
1396,110091
1397,110094
1398,110098
1399,110105
1400,110117
1401,110136
1402,110138
1403,110149
1404,110164
1405,110202
1406,110212
1407,110226
1408,110236
1409,110249
1410,110257
1411,110258
1412,110277
1413,110282
1414,110284
1415,110286
1416,110289
1417,110304
1418,110319
1419,110324
1420,110335
1421,110337
1422,110338
1423,110343
1424,110345
1425,110347
1426,110355
1427,110359
1428,110360
1429,110364
1430,110371
1431,110372
1432,110376
1433,110379
1434,110380
1435,110393
1436,110401
1437,110406
1438,110411
1439,110416
1440,110420
1441,110443
1442,110465
1443,110468
1444,110469
1445,110471
1446,110487
1447,110491
1448,110504
1449,110547
1450,110550
1451,110559
1452,110578
1453,110582
1454,110590
1455,110598
1456,110601
1457,110602
1458,110604
1459,110625
1460,110626
1461,110636
1462,110637
1463,110638
1464,110646
1465,110648
1466,110652
1467,110682
1468,110687
1469,110691
1470,110694
1471,110695
1472,110696
1473,110708
1474,110710
1475,110717
1476,110730
1477,110740
1478,110742
1479,110747
1480,110761
1481,110766
1482,110769
1483,110774
1484,110803
1485,110809
1486,110827
1487,110832
1488,110839
1489,110859
1490,110861
1491,110863
1492,110881
1493,110889
1494,110891
1495,110894
1496,110895
1497,110907
1498,110914
1499,110933
1500,110934
1501,110937
1502,110953
1503,110954
1504,110958
1505,110970
1506,110974
1507,110977
1508,110989
1509,110993
1510,110994
1511,111018
1512,111019
1513,111030
1514,111032
1515,111041
1516,111045
1517,111048
1518,111052
1519,111070
1520,111084
1521,111091
1522,111104
1523,111108
1524,111112
1525,111127
1526,111142
1527,111146
1528,111165
1529,111168
1530,111169
1531,111172
1532,111173
1533,111174
1534,111175
1535,111176
1536,111177
1537,111180
1538,111182
1539,111192
1540,111194
1541,111196
1542,111197
1543,111198
1544,111205
1545,111207
1546,111222
1547,111228
1548,111233
1549,111256
1550,111258
1551,111262
1552,111263
1553,111267
1554,111269
1555,111276
1556,111277
1557,111279
1558,111290
1559,111294
1560,111295
1561,111315
1562,111318
1563,111327
1564,111328
1565,111332
1566,111338
1567,111343
1568,111344
1569,111345
1570,111347
1571,111356
1572,111359
1573,111367
1574,111368
1575,111391
1576,111408
1577,111412
1578,111419
1579,111422
1580,111423
1581,111439
1582,111452
1583,111467
1584,111478
1585,111482
1586,111488
1587,111503
1588,111510
1589,111512
1590,111518
1591,111532
1592,111537
1593,111541
1594,111544
1595,111550
1596,111554
1597,111560
1598,111566
1599,111567
1600,111592
1601,111618
1602,111620
1603,111627
1604,111641
1605,111646
1606,111652
1607,111657
1608,111664
1609,111665
1610,111669
1611,111673
1612,111687
1613,111688
1614,111689
1615,111694
1616,111695
1617,111698
1618,111703
1619,111709
1620,111712
1621,111715
1622,111730
1623,111747
1624,111760
1625,111761
1626,111763
1627,111776
1628,111777
1629,111781
1630,111793
1631,111804
1632,111810
1633,111816
1634,111818
1635,111830
1636,111832
1637,111841
1638,111842
1639,111843
1640,111846
1641,111848
1642,111856
1643,111857
1644,111877
1645,111882
1646,111883
1647,111891
1648,111893
1649,111901
1650,111912
1651,111913
1652,111955
1653,111958
1654,111960
1655,111967
1656,112000
1657,112003
1658,112015
1659,112019
1660,112020
1661,112028
1662,112029
1663,112031
1664,112039
1665,112042
1666,112049
1667,112052
1668,112054
1669,112055
1670,112063
1671,112070
1672,112071
1673,112080
1674,112083
1675,112085
1676,112089
1677,112098
1678,112100
1679,112105
1680,112124
1681,112126
1682,112127
1683,112128
1684,112148
1685,112149
1686,112165
1687,112170
1688,112171
1689,112186
1690,112199
1691,112203
1692,112214
1693,112215
1694,112216
1695,112224
1696,112225
1697,112231
1698,112234
1699,112235
1700,112236
1701,112254
1702,112265
1703,112271
1704,112284
1705,112287
1706,112295
1707,112303
1708,112307
1709,112310
1710,112312
1711,112313
1712,112326
1713,112334
1714,112339
1715,112347
1716,112350
1717,112356
1718,112357
1719,112359
1720,112360
1721,112371
1722,112385
1723,112392
1724,112401
1725,112405
1726,112414
1727,112429
1728,112448
1729,112467
1730,112468
1731,112469
1732,112491
1733,112500
1734,112510
1735,112535
1736,112537
1737,112551
1738,112552
1739,112556
1740,112577
1741,112590
1742,112593
1743,112596
1744,112601
1745,112604
1746,112622
1747,112655
1748,112663
1749,112667
1750,112670
1751,112676
1752,112677
1753,112679
1754,112683
1755,112688
1756,112692
1757,112696
1758,112702
1759,112709
1760,112720
1761,112735
1762,112738
1763,112742
1764,112748
1765,112749
1766,112766
1767,112767
1768,112769
1769,112771
1770,112775
1771,112794
1772,112795
1773,112796
1774,112815
1775,112817
1776,112821
1777,112822
1778,112829
1779,112831
1780,112835
1781,112838
1782,112842
1783,112844
1784,112845
1785,112846
1786,112847
1787,112867
1788,112868
1789,112874
1790,112879
1791,112882
1792,112886
1793,112895
1794,112896
1795,112902
1796,112904
1797,112917
1798,112932
1799,112944
1800,112946
1801,112947
1802,112948
1803,112966
1804,112967
1805,112971
1806,112973
1807,112974
1808,112978
1809,112988
1810,112992
1811,113003
1812,113004
1813,113007
1814,113020
1815,113042
1816,113047
1817,113066
1818,113067
1819,113071
1820,113087
1821,113108
1822,113109
1823,113123
1824,113128
1825,113134
1826,113151
1827,113175
1828,113181
1829,113188
1830,113191
1831,113193
1832,113201
1833,113209
1834,113222
1835,113248
1836,113272
1837,113276
1838,113287
1839,113302
1840,113308
1841,113316
1842,113318
1843,113320
1844,113322
1845,113325
1846,113326
1847,113332
1848,113346
1849,113352
1850,113361
1851,113362
1852,113365
1853,113366
1854,113368
1855,113382
1856,113385
1857,113390
1858,113391
1859,113393
1860,113396
1861,113397
1862,113402
1863,113403
1864,113405
1865,113406
1866,113410
1867,113413
1868,113418
1869,113419
1870,113435
1871,113438
1872,113447
1873,113458
1874,113466
1875,113475
1876,113482
1877,113490
1878,113505
1879,113508
1880,113520
1881,113532
1882,113535
1883,113549
1884,113557
1885,113558
1886,113561
1887,113566
1888,113569
1889,113574
1890,113576
1891,113577
1892,113585
1893,113599
1894,113601
1895,113602
1896,113605
1897,113609
1898,113611
1899,113616
1900,113627
1901,113631
1902,113643
1903,113652
1904,113657
1905,113659
1906,113672
1907,113680
1908,113692
1909,113694
1910,113695
1911,113701
1912,113733
1913,113738
1914,113742
1915,113777
1916,113783
1917,113788
1918,113789
1919,113791
1920,113795
1921,113799
1922,113805
1923,113820
1924,113822
1925,113824
1926,113829
1927,113832
1928,113833
1929,113841
1930,113849
1931,113862
1932,113863
1933,113864
1934,113875
1935,113882
1936,113887
1937,113894
1938,113909
1939,113930
1940,113936
1941,113939
1942,113942
1943,113943
1944,113945
1945,113947
1946,113950
1947,113951
1948,113957
1949,113966
1950,113967
1951,113977
1952,113984
1953,113986
1954,113992
1955,113998
1956,113999
1957,114003
1958,114010
1959,114011
1960,114032
1961,114047
1962,114055
1963,114056
1964,114064
1965,114065
1966,114067
1967,114068
1968,114075
1969,114076
1970,114077
1971,114094
1972,114095
1973,114109
1974,114114
1975,114116
1976,114127
1977,114158
1978,114168
1979,114169
1980,114171
1981,114180
1982,114193
1983,114198
1984,114201
1985,114202
1986,114207
1987,114210
1988,114221
1989,114222
1990,114227
1991,114250
1992,114253
1993,114265
1994,114267
1995,114273
1996,114280
1997,114281
1998,114283
1999,114291
2000,114310
2001,114316
2002,114326
2003,114327
2004,114339
2005,114352
2006,114359
2007,114360
2008,114382
2009,114396
2010,114397
2011,114415
2012,114425
2013,114434
2014,114456
2015,114463
2016,114469
2017,114476
2018,114480
2019,114482
2020,114492
2021,114493
2022,114501
2023,114506
2024,114510
2025,114515
2026,114524
2027,114545
2028,114546
2029,114560
2030,114562
2031,114563
2032,114566
2033,114599
2034,114601
2035,114607
2036,114612
2037,114622
2038,114625
2039,114634
2040,114635
2041,114641
2042,114644
2043,114645
2044,114651
2045,114653
2046,114654
2047,114667
2048,114668
2049,114670
2050,114686
2051,114688
2052,114690
2053,114691
2054,114700
2055,114706
2056,114740
2057,114741
2058,114755
2059,114757
2060,114767
2061,114772
2062,114780
2063,114782
2064,114791
2065,114815
2066,114823
2067,114835
2068,114838
2069,114840
2070,114842
2071,114844
2072,114850
2073,114853
2074,114856
2075,114857
2076,114858
2077,114864
2078,114871
2079,114875
2080,114879
2081,114893
2082,114912
2083,114922
2084,114930
2085,114945
2086,114951
2087,114958
2088,114976
2089,114978
2090,114987
2091,115002
2092,115005
2093,115023
2094,115030
2095,115033
2096,115034
2097,115038
2098,115046
2099,115049
2100,115055
2101,115059
2102,115076
2103,115078
2104,115081
2105,115085
2106,115096
2107,115101
2108,115114
2109,115119
2110,115121
2111,115122
2112,115144
2113,115147
2114,115151
2115,115172
2116,115175
2117,115183
2118,115185
2119,115197
2120,115200
2121,115207
2122,115217
2123,115230
2124,115237
2125,115246
2126,115251
2127,115269
2128,115290
2129,115299
2130,115309
2131,115310
2132,115311
2133,115312
2134,115323
2135,115324
2136,115341
2137,115342
2138,115343
2139,115350
2140,115354
2141,115360
2142,115368
2143,115373
2144,115396
2145,115400
2146,115401
2147,115404
2148,115405
2149,115406
2150,115407
2151,115412
2152,115413
2153,115415
2154,115423
2155,115427
2156,115428
2157,115439
2158,115440
2159,115447
2160,115450
2161,115457
2162,115459
2163,115463
2164,115473
2165,115477
2166,115479
2167,115480
2168,115481
2169,115485
2170,115489
2171,115495
2172,115500
2173,115521
2174,115572
2175,115580
2176,115582
2177,115586
2178,115587
2179,115588
2180,115591
2181,115592
2182,115618
2183,115619
2184,115621
2185,115632
2186,115646
2187,115658
2188,115671
2189,115680
2190,115686
2191,115688
2192,115705
2193,115707
2194,115708
2195,115726
2196,115759
2197,115773
2198,115777
2199,115778
2200,115781
2201,115801
2202,115804
2203,115810
2204,115812
2205,115820
2206,115827
2207,115831
2208,115841
2209,115846
2210,115852
2211,115857
2212,115858
2213,115860
2214,115865
2215,115867
2216,115869
2217,115877
2218,115904
2219,115913
2220,115916
2221,115928
2222,115932
2223,115933
2224,115937
2225,115938
2226,115957
2227,115958
2228,115969
2229,115980
2230,115984
2231,116006
2232,116007
2233,116008
2234,116009
2235,116011
2236,116012
2237,116015
2238,116025
2239,116052
2240,116068
2241,116077
2242,116084
2243,116089
2244,116093
2245,116097
2246,116102
2247,116118
2248,116119
2249,116125
2250,116128
2251,116135
2252,116140
2253,116141
2254,116142
2255,116153
2256,116156
2257,116157
2258,116167
2259,116168
2260,116175
2261,116187
2262,116189
2263,116191
2264,116201
2265,116210
2266,116213
2267,116215
2268,116223
2269,116226
2270,116228
2271,116241
2272,116247
2273,116266
2274,116276
2275,116287
2276,116289
2277,116292
2278,116306
2279,116309
2280,116312
2281,116313
2282,116335
2283,116342
2284,116348
2285,116367
2286,116380
2287,116383
2288,116389
2289,116395
2290,116397
2291,116398
2292,116402
2293,116404
2294,116406
2295,116424
2296,116428
2297,116436
2298,116440
2299,116448
2300,116458
2301,116466
2302,116469
2303,116473
2304,116474
2305,116479
2306,116480
2307,116491
2308,116493
2309,116505
2310,116511
2311,116525
2312,116535
2313,116544
2314,116546
2315,116562
2316,116565
2317,116578
2318,116579
2319,116580
2320,116582
2321,116584
2322,116586
2323,116596
2324,116597
2325,116598
2326,116604
2327,116609
2328,116613
2329,116614
2330,116615
2331,116633
2332,116637
2333,116643
2334,116647
2335,116656
2336,116659
2337,116662
2338,116676
2339,116680
2340,116681
2341,116683
2342,116684
2343,116712
2344,116720
2345,116726
2346,116729
2347,116737
2348,116745
2349,116747
2350,116766
2351,116781
2352,116783
2353,116787
2354,116788
2355,116789
2356,116801
2357,116803
2358,116804
2359,116806
2360,116815
2361,116817
2362,116825
2363,116828
2364,116829
2365,116853
2366,116854
2367,116859
2368,116860
2369,116865
2370,116880
2371,116882
2372,116896
2373,116906
2374,116908
2375,116925
2376,116926
2377,116948
2378,116949
2379,116955
2380,116964
2381,116974
2382,116976
2383,116990
2384,116993
2385,116994
2386,116997
2387,117003
2388,117007
2389,117011
2390,117012
2391,117019
2392,117021
2393,117030
2394,117036
2395,117043
2396,117054
2397,117070
2398,117077
2399,117087
2400,117093
2401,117105
2402,117112
2403,117129
2404,117135
2405,117138
2406,117142
2407,117148
2408,117157
2409,117170
2410,117171
2411,117172
2412,117178
2413,117186
2414,117187
2415,117193
2416,117194
2417,117199
2418,117207
2419,117211
2420,117216
2421,117217
2422,117218
2423,117219
2424,117224
2425,117225
2426,117239
2427,117242
2428,117249
2429,117255
2430,117257
2431,117272
2432,117284
2433,117287
2434,117293
2435,117298
2436,117307
2437,117321
2438,117323
2439,117326
2440,117327
2441,117341
2442,117362
2443,117375
2444,117391
2445,117396
2446,117399
2447,117400
2448,117402
2449,117406
2450,117417
2451,117418
2452,117425
2453,117428
2454,117443
2455,117448
2456,117449
2457,117450
2458,117463
2459,117467
2460,117478
2461,117480
2462,117483
2463,117484
2464,117495
2465,117498
2466,117501
2467,117503
2468,117520
2469,117524
2470,117525
2471,117526
2472,117527
2473,117531
2474,117545
2475,117547
2476,117557
2477,117563
2478,117564
2479,117598
2480,117599
2481,117610
2482,117614
2483,117616
2484,117623
2485,117625
2486,117633
2487,117634
2488,117639
2489,117652
2490,117653
2491,117660
2492,117661
2493,117662
2494,117676
2495,117677
